ID,Tournament,MatchDate,Week,Day,Date,Division,Home,Away,Field,Time
156,WMCB Championship,2015-09-13,Week 21,Sunday,13-Sep,WMCB Inter-Division,Renegades,A Money Matter,Mark Twain,11:00 AM
157,WMCB Championship PLAYOFFS  ,2015-09-19,Week 22,Saturday,19-Sep,Quarter Final 1,TEAM 1,TEAM 8,TBD,11:00 AM
158,WMCB Championship PLAYOFFS ,2015-09-19,Week 22,Saturday,19-Sep,Quarter Final II,TEAM 4,TEAM 5,TBD,11:00 AM
159,WMCB Championship PLAYOFFS ,2015-09-19,Week 22,Saturday,19-Sep,Quarter Final III,TEAM 2,TEAM 7,TBD,11:00 AM
160,WMCB Championship PLAYOFFS ,2015-09-19,Week 22,Saturday,19-Sep,Quarter Final IV,TEAM 3,TEAM 6,TBD,11:00 AM
161,WMCB Championship PLAYOFFS ,2015-09-20,Week 22,Sunday,20-Sep,Quarter Final Reserve Day,,,,11:00 AM
162,WMCB Championship PLAYOFFS ,2015-09-26,Week 23,Saturday,26-Sep,Semi-Final I,Winner of QF I,Winner of QF II,TBD,11:00 AM
163,WMCB Championship PLAYOFFS ,2015-09-26,Week 23,Saturday,26-Sep,Semi-Final II,Winner of QF III,Winner of QF IV,TBD,11:00 AM
164,WMCB Championship PLAYOFFS ,2015-09-27,Week 23,Sunday,27-Sep,Semi-Finals Reserve Day,,,,11:00 AM
165,WMCB Championship PLAYOFFS  ,2015-10-03,Week 24,Saturday,3-Oct,Final ,Winner of SF 1,Winner of SF II,TBD,11:00 AM
166,WMCB Championship PLAYOFFS  ,2015-10-04,Week 24,Sunday,4-Oct,FINAL Reserve Day,,,,11:00 AM
